"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg Part Number"
"1","3","C1, C2, C3","22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","GRM219R61C226ME15K"
"2","3","C4, C5, C7",".1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","CC0402KRX7R7BB104"
"3","1","C6","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","GRM188D71A106MA73D"
"4","1","C9","47uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","GRM21BR60J476ME15L"
"5","2","D1, D2","LED_RABG","Device:LED_RABG","lichen-badge:LED_SunLED_PLCC4_3.2x2.8mm_Reverse_Mount","~","XZMDKCBDDG45S-9"
"6","4","FB1, FB2, FB3, FB4","Ferrite_Bead_Small","Device:Ferrite_Bead_Small","Inductor_SMD:L_0603_1608Metric","~","LI0603G121R-10"
"7","1","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_6.5mm","~","N/A"
"8","2","IC1, IC2","TPD4S012DRYR","PocketBeagle:TPD4S012DRYR","lichen-badge:SON-6(TI)-DRY","","TPD4S012DRYR"
"9","1","J1","Micro_SD_Card_Det","Connector:Micro_SD_Card_Det","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1","DM3AT-SF-PEJM5"
"10","2","J2, J3","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~","0473460001"
"11","2","J4, J7","TEST_1P","conn:TEST_1P","TestPoint:TestPoint_Pad_D1.0mm","","N/A"
"12","1","J5","JST","Connector_Generic:Conn_01x02","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","~","S2B-PH-SM4-TB(LF)(SN)"
"13","1","J6","Conn_01x04","Connector_Generic:Conn_01x04","Connector_Molex:Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal","~","53261-0471"
"14","1","L1","2.2uH","Device:L_Small","Inductor_SMD:L_Taiyo-Yuden_MD-4040","~","MDWK4040T2R2MM"
"15","1","LOGO1","Logo_Open_Hardware_Small","Graphic:Logo_Open_Hardware_Small","lichen-badge:tux-ghost","~","N/A"
"16","4","Q1, Q2, Q3, Q4","MMBT3904","transistors:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","MMBT3904"
"17","1","R1","10K","Device:R","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-0710KL"
"18","2","R2, R3","750K","Device:R","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-07750KL"
"19","4","R4, R20, R21, R22","100K","Device:R","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-07100KL"
"20","12","R5, R6, R8, R9, R10, R11, R12, R13, R14, R17, R18, R19","4.7K","Device:R","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-074K7L"
"21","1","R7","100","Device:R","Resistor_SMD:R_0402_1005Metric","~","RC0402JR-07100RL"
"22","1","R15","470","Device:R","Resistor_SMD:R_0402_1005Metric","~","RC0402JR-07470RL"
"23","1","R16","22","Device:R","Resistor_SMD:R_0402_1005Metric","~","RC0402JR-0722RL"
"24","4","RN1, RN2, RN3, RN4","100K","Device:R_Pack04","Resistor_SMD:R_Array_Convex_4x0402","~","YC124-JR-07100KL"
"25","2","RN5, RN6","470","Device:R_Pack04","Resistor_SMD:R_Array_Convex_4x0402","~","EXB-28V471JX"
"26","1","SW1","POWER","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQP2","~","EVQ-P2202M"
"27","1","SW2","RESET","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQP2","~","EVQ-P2202M"
"28","1","SW3","BOOT0","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQP2","~","EVQ-P2202M"
"29","1","U1","OSD335x-CSIP","osd335x-csip:OSD335x-CSIP","lichen-badge:BGA-400-1-27mm","","OSD3358-512M-BCB"
"30","1","U2","MMA8452QR1","lichen-badge:MMA8452QR1","lichen-badge:MMA8452QR1","","MMA8452QR1"
"31","1","U4","PAM2401SCADJ","lichen-badge:PAM2401SCADJ","Package_SO:MSOP-8_3x3mm_P0.65mm","","PAM2401SCADJ"
"32","1","U5","TPS2051C","baconbits:TPS2051C","lichen-badge:SOT-23-5","","TPS2051C"
"33","1","X1","SPI-LCD-(1.8IN)","spi-lcd-(1.8in):SPI-LCD-(1.8IN)","lichen-badge:LCD-(1.8IN)","","485-618"
